1;2;3;4;5;6;7;8;9;10;11;12
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;370.14;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.26;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.94;252.0;0.0
0.0;0.0;0.0;0.0;0.0;28.59;31.19;0.0;0.0;0.0;0.0;0.0
0.0;0.0;16.94;0.0;0.0;33.89;0.0;0.0;0.0;0.0;378.39;0.0
0.0;313.44;671.76;0.0;335.88;335.88;335.88;671.76;1007.64;335.88;0.0;503.82
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;694.51;0.0
0.0;63.92;0.0;0.0;0.0;57.18;0.0;0.0;0.0;0.0;0.0;0.0
74.22;143.36;0.0;53.95;82.5;0.0;0.0;0.0;16.27;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.04;66.72;89.52;0.0;198.54
0.0;0.0;154.83;0.0;57.18;114.35;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;181.56;0.0;0.0;0.0;0.0;0.0;372.8;630.74;104.1;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;388.44;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2539.79
160.2;205.92;152.12;317.36;206.93;0.0;101.41;206.93;0.0;261.74;66.12;101.41
0.0;0.0;0.0;133.92;146.46;0.0;22.8;0.0;112.08;168.58;363.86;259.02
47.2;94.8;330.52;258.77;58.2;101.6;0.0;0.0;0.0;0.0;82.97;0.0
-20.58;47.85;0.0;0.0;47.99;0.0;0.0;0.0;0.0;0.0;43.81;0.0
60.75;89.64;56.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
191.94;0.0;72.0;275.4;39.6;96.6;67.8;0.0;272.99;211.3;111.6;63.6
0.0;241.55;239.84;392.18;265.33;190.98;169.79;331.4;339.1;410.12;686.85;520.4
0.0;0.0;253.8;84.6;126.9;42.3;0.0;0.0;0.0;0.0;0.0;0.0
53.4;391.12;869.95;108.62;128.4;7.76;51.12;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;57.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;147.46;2557.46;0.0;2899.2;0.0;549.0;0.0;132.0;0.0;223.2;223.2
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;13.9;80.88;0.0;0.0;0.0;0.0;0.0;59.7;0.0;0.0;0.0
0.0;101.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;168.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;63.72;0.0;0.0;0.0;53.1;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;104.1;0.0
0.0;0.0;26.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;114.64;792.9;30.6;63.95;150.46;0.0;0.0;0.0;0.0;0.0;0.0
0.0;139.83;132.7;0.0;106.16;0.0;0.0;0.0;106.16;0.0;0.0;0.0
0.0;55.2;169.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;140.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;598.22;0.0;0.0;292.21;0.0;0.0;204.0;0.0;953.91;292.21
0.0;0.0;172.02;473.85;0.0;440.83;0.0;0.0;406.51;216.31;140.04;113.51
0.0;0.0;0.0;0.0;55.29;0.0;0.0;0.0;0.0;29.61;0.0;59.22
0.0;0.0;90.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;297.0;-39.6;0.0;0.0;1369.0;39.12;0.0;0.0
0.0;0.0;329.77;210.58;445.21;153.86;294.43;228.24;2205.26;73.95;244.99;59.22
0.0;0.0;20.22;20.22;0.0;74.76;102.0;171.0;0.0;0.0;0.0;114.0
