Cliente;Producto;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Tot
60130 - CALIDAD E INNOVACION 2013. S.L.;029000003000024 - KIRIN CAJA 4X6X33CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.6;0.0;57.6
60130 - CALIDAD E INNOVACION 2013. S.L.;029000004000024 - ASAHI CAJA 24X33CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.6;0.0;57.6
60130 - CALIDAD E INNOVACION 2013. S.L.;030000001000024 - SAPPORO LAGER 24X33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.6;0.0;75.6
60130 - CALIDAD E INNOVACION 2013. S.L.;088000005000001 - PACK SUSHI & BEER ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;398.98;0.0;398.98
60310 - SIERRABER 2007 SL;024000203000001 - PACK GREVENS. 5 BOT+JARRA ORIG ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.61;0.0;98.61
60310 - SIERRABER 2007 SL;028000034000001 - PACK KARLSBRAU WEIZEN 5 BOT+JA ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115.8;0.0;115.8
60310 - SIERRABER 2007 SL;059000006000006 - JACQUART MOSAIQ  BRUT CAJA 6X75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;281.64;0.0;281.64
60310 - SIERRABER 2007 SL;059000007000006 - JACQUART ROSE CAJA 6X75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;350.66;0.0;350.66
60310 - SIERRABER 2007 SL;059000013000006 - MONTAUDON BRUT 75CL 6X75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.24;0.0;93.24
60310 - SIERRABER 2007 SL;059000014000006 - MONTAUDON ROSE 75CL 6X75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.6;0.0;105.6
60310 - SIERRABER 2007 SL;088000005000001 - PACK SUSHI & BEER ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;128.8;0.0;128.8
60396 - LENDA RESTAURACION S.L.;084000070000001 - TEQUILA AGAVITA BCO BOT 70CL;156.0;167.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;323.1
60396 - LENDA RESTAURACION S.L.;084000070000006 - TEQUILA AGAVITA BLANCO CAJA 6X70CL;0.0;0.0;342.16;171.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;513.24
60396 - LENDA RESTAURACION S.L.;089000005000006 - IL VENEZIANO LAMBRUSCO FRIZZ CAJA 6 X 75CL(RDO);0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
60396 - LENDA RESTAURACION S.L.;138000001000012 - CASAMARO VERDEJO 12X75CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.22;29.61;29.61;118.44
60396 - LENDA RESTAURACION S.L.;C94000002000001 - MONODOSIS DESCAFEINADO T. CAJA 100 UDS. de 7 grs;0.0;0.0;19.87;0.0;0.0;19.87;19.87;0.0;19.87;0.0;19.87;0.0;99.35
60396 - LENDA RESTAURACION S.L.;C94000019000006 - Cinco Estrellas 80/20 CAJA 6 PAQUETES 1 KG;34.86;0.0;0.0;35.77;35.77;35.77;35.77;0.0;35.77;35.77;35.77;0.0;285.25
60396 - LENDA RESTAURACION S.L.;C94000021000001 - AZUCAR CAJA 1000 UDS.;10.8;0.0;0.0;0.0;11.08;0.0;11.08;0.0;0.0;11.08;0.0;0.0;44.04
60396 - LENDA RESTAURACION S.L.;C94000028000001 - SOLUBLE DESCAFEINADO TORRELSA PAQ. 100 SOBRES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
