Id;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Tot
C94000109000001 - DILM GRANEL CEYLON SPICE CHAI LATA 100G/06;0.0;0.0;9.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.98
C94000110000001 - DILMAH GRANEL CHAMOMILE LATA 42G/06;0.0;0.0;9.98;9.98;9.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.94
C94000112000001 - DILMAH GRANEL PEPPERMINT LATA 34G/06;0.0;0.0;9.98;0.0;0.0;0.0;9.98;0.0;0.0;0.0;0.0;0.0;19.96
C94000113000001 - DILM.GRANEL VALLEY KINGS PEKOE LATA 100G/1 LT;0.0;0.0;9.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.98
C94000114000001 - DILMAH EXCEP BERRY SENSATION E/50 C/4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.28;17.64;35.28;88.2
C94000115000001 - DILMAH EXCEP. CEYLON GREEN TEA E/50 C/4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.28;49.39;152.41;237.08
C94000116000001 - DILMAH EXCEP ELEGANT EARL GREY E/50 C/4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.92;59.97;78.32;191.21
C94000117000001 - DILMAH EXCP FRAG.JASMINE GREEN E/50 C/4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.64;35.28;42.33;31.75;127.0
C94000118000001 - DILMAH EXCP PEPPERMINT&CINAMON E/50 C/4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.28;14.11;17.64;67.03
C94000119000001 - DILMAH EXCP ROSE FRENCH VANILA E/50 C/4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.92;0.0;17.64;70.56
C94000120000001 - DILMAH EXCEP CEYLON TEA SPICE E/50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.28;0.0;17.64;52.92
C94000121000001 - DILMAH EXCEP ENGLISH BREAKFAST E/50 C/4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.64;35.28;35.28;64.21;152.41
C94000122000001 - DILMAH EXCEP ROIBOOS PURE NAT E/50 C/4;0.0;0.0;0.0;0.0;47.26;0.0;0.0;0.0;23.63;47.26;80.33;89.79;288.27
C94000123000001 - DLMH EXCP TSACHET TIE GUAN YIN E/50 C/4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.75;21.0;26.25;126.0
C94000124000001 - DILMAH EXCEP CHAMOMILE E/30 (4);0.0;0.0;0.0;0.0;30.46;0.0;0.0;0.0;15.23;30.46;91.36;222.35;389.86
C94000125000001 - DILMAH EXCEP PEPPERMINT E/30 (4);0.0;0.0;0.0;0.0;0.0;15.23;-15.23;0.0;15.23;30.46;103.55;179.71;328.95
C94000601000001 - TEA GALLERY P. VERDE BO/30 PAQ. 30 UDS.;0.0;7.08;14.16;0.0;0.0;7.08;0.0;0.0;0.0;0.0;0.0;0.0;28.32
C94000602000001 - TEA GALLERY P. ROJO FRUT BO/30 PAQ. 30 UDS.;21.21;14.32;50.75;21.75;14.5;14.5;7.25;7.25;21.75;14.5;21.75;65.25;274.78
C94000603000001 - TEA GALLERY P. BLCO-MAND BO/30 PAQ. 30 UDS.;0.0;7.13;14.26;7.13;35.65;0.0;0.0;0.0;7.13;7.13;14.26;14.26;106.95
C94000604000001 - TEA GALLERY P. ROJO BO/30 PAQ. 30 UDS.;0.0;0.0;0.0;0.0;21.75;7.25;0.0;0.0;0.0;7.25;0.0;0.0;36.25
C94000605000001 - TEA GALLERY KIT PIRAM. 12 SABO ;0.0;169.82;0.0;0.0;84.91;0.0;84.91;0.0;67.93;169.82;84.91;0.0;662.3
R_Producto;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
T_Producto;21800.87;37929.1;64358.31;40690.79;50682.81;60713.94;47101.86;42265.69;74539.58;76775.65;123416.09;75151.58;715426.27
